"latitude","longitude","year","month","frp","daynight"
-37.796,145.972,"2017","04",626.7,"D"
-35.0331,146.5877,"2017","04",572.2,"D"
-35.0375,146.5776,"2017","04",519.5,"D"
-34.2419,146.5741,"2017","04",645.2,"D"
-34.3648,137.625,"2017","04",588.6,"D"
-34.3732,137.6359,"2017","04",1337.1,"D"
-32.3048,134.2524,"2017","04",557.1,"D"
-17.7621,134.3769,"2017","04",682,"D"
-17.7159,134.3955,"2017","04",886.2,"D"
-32.1255,117.0508,"2017","04",634.8,"D"
-33.7792,122.1951,"2017","04",615.4,"D"
-43.306,146.8825,"2017","04",2262.9,"D"
-43.2948,146.8857,"2017","04",5300.2,"D"
-43.2918,146.8811,"2017","04",3894,"D"
-43.1576,147.7856,"2017","04",610.2,"D"
-34.3477,147.8066,"2017","04",574.8,"D"
-34.3597,147.8084,"2017","04",562,"D"
-37.639,143.3476,"2017","04",673.1,"D"
-37.6391,142.9036,"2017","04",654.8,"D"
-37.6441,142.9136,"2017","04",542.7,"D"
-37.6402,143.3525,"2017","04",613.9,"D"
-33.6571,119.738,"2017","04",591.2,"D"
-33.6581,119.7103,"2017","04",815.2,"D"
-33.656,119.7425,"2017","04",599.1,"D"
-30.8462,116.5059,"2017","04",530.6,"D"
-30.8133,116.3437,"2017","04",578.6,"D"
-37.7801,148.3988,"2017","04",628.1,"D"
-34.574,147.4185,"2017","04",525.5,"D"
-34.5409,147.3434,"2017","04",850,"D"
-34.5464,147.3485,"2017","04",532,"D"
-37.219,147.4394,"2017","04",821.8,"D"
-37.2173,147.4735,"2017","04",503.9,"D"
-34.5727,147.3785,"2017","04",746.5,"D"
-35.308,145.1891,"2017","04",608.4,"D"
-34.3304,117.6059,"2017","04",519.1,"D"
-31.5694,115.7887,"2017","04",941.8,"D"
-31.5613,115.7936,"2017","04",1364,"D"
-36.7185,142.5997,"2017","04",841.1,"D"
-19.7324,133.7697,"2017","04",755.4,"D"
-19.7372,133.7656,"2017","04",888.9,"D"
-33.8864,118.1005,"2017","04",557.6,"D"
-37.8253,143.6167,"2017","04",595.7,"D"
-36.6805,142.5399,"2017","04",851.3,"D"
-37.8274,143.5825,"2017","04",850.6,"D"
-37.8268,143.5896,"2017","04",1150.4,"D"
-37.5813,142.7377,"2017","04",506,"D"
-37.595,142.6863,"2017","04",1058.7,"D"
-37.5939,142.6943,"2017","04",1362.3,"D"
-34.4197,137.5982,"2017","04",503.6,"D"
-40.9821,145.4123,"2017","04",932,"D"
-40.984,145.4001,"2017","04",1076.1,"D"
-41.3023,147.7083,"2017","04",989.6,"D"
-37.8871,143.9273,"2017","04",528.2,"D"
-37.541,143.1519,"2017","04",1218.2,"D"
-37.5426,143.1406,"2017","04",568.1,"D"
-36.7948,143.9558,"2017","04",625.7,"D"
-36.7962,143.9641,"2017","04",671.6,"D"
-36.7501,141.301,"2017","04",511.1,"D"
-40.911,145.3701,"2017","04",1441.7,"D"
-37.4937,145.5328,"2017","04",1240.4,"D"
